objectID,top_left_x,top_left_y,bottom_right_x,bottom_right_y,center_x,center_y,tolerance
1,274,1555,302,1582,288.0,1568.5,0.91795784
2,277,1017,305,1044,291.0,1030.5,0.9425981
3,280,398,308,425,294.0,411.5,0.9223062
4,282,822,310,849,296.0,835.5,0.72210544
5,282,900,310,927,296.0,913.5,0.69710356
6,282,1170,310,1197,296.0,1183.5,0.8629348
7,282,1285,310,1312,296.0,1298.5,0.8734088
8,290,321,318,348,304.0,334.5,0.9680859
9,298,1828,326,1855,312.0,1841.5,0.86885816
10,300,591,328,618,314.0,604.5,0.971569
11,300,668,328,695,314.0,681.5,0.9670897
12,304,514,332,541,318.0,527.5,0.95328516
13,304,1092,332,1119,318.0,1105.5,0.86862606
14,304,1671,332,1698,318.0,1684.5,0.94979423
15,378,1131,406,1158,392.0,1144.5,0.8922024
16,380,249,408,276,394.0,262.5,0.8209799
17,382,1890,410,1917,396.0,1903.5,0.952688
18,392,1440,420,1467,406.0,1453.5,0.8855908
19,398,822,426,849,412.0,835.5,0.810372
20,414,591,442,618,428.0,604.5,0.9005067
21,435,1748,463,1775,449.0,1761.5,0.88309103
22,445,437,473,464,459.0,450.5,0.8764643
23,498,1869,526,1896,512.0,1882.5,0.8824999
24,542,1616,570,1643,556.0,1629.5,0.86177593
25,544,567,572,594,558.0,580.5,0.9214595
26,545,853,573,880,559.0,866.5,0.8999749
27,545,1085,573,1112,559.0,1098.5,0.85845876
28,545,1200,573,1227,559.0,1213.5,0.8143538
29,573,266,601,293,587.0,279.5,0.95966166
30,593,1793,621,1820,607.0,1806.5,0.9048817
31,613,1877,641,1904,627.0,1890.5,0.915551
32,623,411,651,438,637.0,424.5,0.92876095
33,642,313,670,340,656.0,326.5,0.86866444
34,671,911,699,938,685.0,924.5,0.9536129
35,671,1027,699,1054,685.0,1040.5,0.95460445
36,671,1143,699,1170,685.0,1156.5,0.90293056
37,718,328,746,355,732.0,341.5,0.9510626
38,772,1900,800,1927,786.0,1913.5,0.8453019
39,806,1782,834,1809,820.0,1795.5,0.9868375
40,845,1899,873,1926,859.0,1912.5,0.8174341
41,848,1673,876,1700,862.0,1686.5,0.91580373
42,854,436,882,463,868.0,449.5,0.8645983
43,874,335,902,362,888.0,348.5,0.9117104
44,940,1900,968,1927,954.0,1913.5,0.864302
45,950,350,978,377,964.0,363.5,0.63639015
46,1038,1782,1066,1809,1052.0,1795.5,0.8527154
47,1038,1673,1066,1700,1052.0,1686.5,0.9333287
48,1039,1900,1067,1927,1053.0,1913.5,0.86835766
49,1076,506,1104,533,1090.0,519.5,0.8496297
50,1115,1900,1143,1927,1129.0,1913.5,0.87015843
51,1132,623,1160,650,1146.0,636.5,0.75360745
52,1139,386,1167,413,1153.0,399.5,0.89696354
53,1194,1900,1222,1927,1208.0,1913.5,0.8332395
54,1230,523,1258,550,1244.0,536.5,0.96036524
55,1230,1674,1258,1701,1244.0,1687.5,0.8962835
56,1253,408,1281,435,1267.0,421.5,0.8589508
57,1346,1909,1374,1936,1360.0,1922.5,0.88477355
58,1366,431,1394,458,1380.0,444.5,0.6809077
59,1382,553,1410,580,1396.0,566.5,0.83338064
60,1461,1242,1489,1269,1475.0,1255.5,0.9670242
61,1462,1375,1490,1402,1476.0,1388.5,0.94429046
62,1513,481,1541,508,1527.0,494.5,0.89308995
63,1519,1892,1547,1919,1533.0,1905.5,0.87457365
64,1569,1543,1597,1570,1583.0,1556.5,0.9626503
65,1569,1755,1597,1782,1583.0,1768.5,0.9000851
66,1571,685,1599,712,1585.0,698.5,0.9665761
67,1602,577,1630,604,1616.0,590.5,0.93668425
68,1626,910,1654,937,1640.0,923.5,0.897747
69,1626,1370,1654,1397,1640.0,1383.5,0.8979649
70,1626,1176,1654,1203,1640.0,1189.5,0.93819207
71,1628,499,1656,526,1642.0,512.5,0.96548617
72,1662,1646,1690,1673,1676.0,1659.5,0.9572142
73,1708,1765,1736,1792,1722.0,1778.5,0.89927155
74,1709,1893,1737,1920,1723.0,1906.5,0.8546445
75,1709,2059,1737,2086,1723.0,2072.5,0.87398934
76,1709,2170,1737,2197,1723.0,2183.5,0.9216547
77,1757,1063,1785,1090,1771.0,1076.5,0.99028724
78,1757,1488,1785,1515,1771.0,1501.5,0.99684006
79,1786,695,1814,722,1800.0,708.5,0.90969485
80,1805,1294,1833,1321,1819.0,1307.5,0.8655066
81,1805,2060,1833,2087,1819.0,2073.5,0.8660953
82,1831,560,1859,587,1845.0,573.5,0.939925
83,1848,868,1876,895,1862.0,881.5,0.89547336
84,1851,1063,1879,1090,1865.0,1076.5,0.8758821
85,1851,1364,1879,1391,1865.0,1377.5,0.79750484
86,1852,1646,1880,1673,1866.0,1659.5,0.9810013
87,1867,2171,1895,2198,1881.0,2184.5,0.8890231
88,1929,667,1957,694,1943.0,680.5,0.95459604
89,1983,2138,2011,2165,1997.0,2151.5,0.8413255
90,2002,901,2030,928,2016.0,914.5,0.84844273
91,2043,689,2071,716,2057.0,702.5,0.8896342
92,2060,2046,2088,2073,2074.0,2059.5,0.9445152
93,2060,2138,2088,2165,2074.0,2151.5,0.8816922
94,2098,1918,2126,1945,2112.0,1931.5,0.9285518
95,2114,905,2142,932,2128.0,918.5,0.96925753
96,2137,2138,2165,2165,2151.0,2151.5,0.8909045
97,2147,733,2175,760,2161.0,746.5,0.84985745
98,2170,818,2198,845,2184.0,831.5,0.9509261
99,2175,1949,2203,1976,2189.0,1962.5,0.8326985
100,2189,920,2217,947,2203.0,933.5,0.88856447
101,2214,2138,2242,2165,2228.0,2151.5,0.98679525
102,2253,1949,2281,1976,2267.0,1962.5,0.8489244
103,2264,740,2292,767,2278.0,753.5,0.9371073
104,2265,935,2293,962,2279.0,948.5,0.8851429
105,2291,2047,2319,2074,2305.0,2060.5,0.9375882
106,2291,2138,2319,2165,2305.0,2151.5,0.9251914
107,2322,848,2350,875,2336.0,861.5,0.97707665
108,2330,1949,2358,1976,2344.0,1962.5,0.94786286
109,2339,755,2367,782,2353.0,768.5,0.8766243
110,2341,949,2369,976,2355.0,962.5,0.9791981
111,2368,2138,2396,2165,2382.0,2151.5,0.88326424
112,2407,1949,2435,1976,2421.0,1962.5,0.96008337
113,2415,768,2443,795,2429.0,781.5,0.8719337
114,2417,964,2445,991,2431.0,977.5,0.9480108
115,2445,2138,2473,2165,2459.0,2151.5,0.86089206
116,2472,881,2500,908,2486.0,894.5,0.9735855
117,2484,1949,2512,1976,2498.0,1962.5,0.9768751
118,2491,783,2519,810,2505.0,796.5,0.9012818
119,2492,979,2520,1006,2506.0,992.5,0.9327164
120,2523,2138,2551,2165,2537.0,2151.5,0.8668796
121,2567,798,2595,825,2581.0,811.5,0.8828008
122,2568,993,2596,1020,2582.0,1006.5,0.89611137
123,2598,2046,2626,2073,2612.0,2059.5,0.9088188
124,2600,2138,2628,2165,2614.0,2151.5,0.9376226
125,2623,913,2651,940,2637.0,926.5,0.91893893
126,2643,813,2671,840,2657.0,826.5,0.8812216
127,2644,1008,2672,1035,2658.0,1021.5,0.87434185
128,2718,827,2746,854,2732.0,840.5,0.85990185
129,2753,1440,2781,1467,2767.0,1453.5,0.9014722
130,2754,2190,2782,2217,2768.0,2203.5,0.90410393
131,2774,947,2802,974,2788.0,960.5,0.87815523
132,2794,842,2822,869,2808.0,855.5,0.9540451
133,2796,1672,2824,1699,2810.0,1685.5,0.6778968
134,2797,1826,2825,1853,2811.0,1839.5,0.9663973
135,2813,1517,2841,1544,2827.0,1530.5,0.9419764
136,2831,2045,2859,2072,2845.0,2058.5,0.9079703
137,2870,857,2898,884,2884.0,870.5,0.94130415
138,2908,2190,2936,2217,2922.0,2203.5,0.8773437
139,2924,980,2952,1007,2938.0,993.5,0.77194744
140,2936,1286,2964,1313,2950.0,1299.5,0.97400665
141,2940,1594,2968,1621,2954.0,1607.5,0.8903813
142,2940,1749,2968,1776,2954.0,1762.5,0.91064435
143,2945,1440,2973,1467,2959.0,1453.5,0.86747557
144,2950,849,2978,876,2964.0,862.5,0.95207405
145,2952,1170,2980,1197,2966.0,1183.5,0.879886
146,2966,2029,2994,2056,2980.0,2042.5,0.9220695
147,3040,1268,3068,1295,3054.0,1281.5,0.9664502
148,3043,1978,3071,2005,3057.0,1991.5,0.9391009
149,3046,1594,3074,1621,3060.0,1607.5,0.8239805
150,3045,1749,3073,1776,3059.0,1762.5,0.9568198
151,3050,2178,3078,2205,3064.0,2191.5,0.9816484
152,3139,1517,3167,1544,3153.0,1530.5,0.8552821
153,3139,1672,3167,1699,3153.0,1685.5,0.88783884
154,3139,1749,3167,1776,3153.0,1762.5,0.9541325
155,3140,1594,3168,1621,3154.0,1607.5,0.87999
